,PopulationSize,ChromosomeLength,ElitismFactor,Iteration,GeneticIterations
1105,3,13,10,5,13576
1106,3,13,10,6,669
1107,3,13,10,7,177
1108,3,13,10,8,3156
1109,3,13,10,9,64
1110,3,13,11,0,932
1111,3,13,11,1,913
1112,3,13,11,2,2152
1113,3,13,11,3,9804
1114,3,13,11,4,2913
1115,3,13,11,5,3963
1116,3,13,11,6,4677
1117,3,13,11,7,464
1118,3,13,11,8,2089
1119,3,13,11,9,2203
1120,3,13,12,0,3810
1121,3,13,12,1,11234
1122,3,13,12,2,2598
1123,3,13,12,3,45
1124,3,13,12,4,2447
1125,3,13,12,5,14722
1126,3,13,12,6,1560
1127,3,13,12,7,10681
1128,3,13,12,8,4309
1129,3,13,12,9,310
1130,3,13,13,0,1308
1131,3,13,13,1,4906
1132,3,13,13,2,3293
1133,3,13,13,3,2351
1134,3,13,13,4,13587
1135,3,13,13,5,14585
1136,3,13,13,6,237
1137,3,13,13,7,2540
1138,3,13,13,8,6884
1139,3,13,13,9,3384
1140,3,13,14,0,9813
1141,3,13,14,1,4010
1142,3,13,14,2,6506
1143,3,13,14,3,4999
1144,3,13,14,4,1161
1145,3,13,14,5,2032
1146,3,13,14,6,2014
1147,3,13,14,7,4686
1148,3,13,14,8,8496
1149,3,13,14,9,9254
1150,3,13,15,0,3985
1151,3,13,15,1,6705
1152,3,13,15,2,3864
1153,3,13,15,3,2833
1154,3,13,15,4,3447
1155,3,13,15,5,6615
1156,3,13,15,6,486
1157,3,13,15,7,2394
1158,3,13,15,8,843
1159,3,13,15,9,610
1160,3,13,16,0,13198
1161,3,13,16,1,5628
1162,3,13,16,2,6281
1163,3,13,16,3,6525
1164,3,13,16,4,418
1165,3,13,16,5,3869
1166,3,13,16,6,582
1167,3,13,16,7,463
1168,3,13,16,8,432
1169,3,13,16,9,10743
1170,3,13,17,0,6522
1171,3,13,17,1,27959
1172,3,13,17,2,7085
1173,3,13,17,3,5555
1174,3,13,17,4,21746
1175,3,13,17,5,1024
1176,3,13,17,6,2981
1177,3,13,17,7,5925
1178,3,13,17,8,3123
1179,3,13,17,9,4030
1180,3,13,18,0,4089
1181,3,13,18,1,2950
1182,3,13,18,2,3488
1183,3,13,18,3,9848
1184,3,13,18,4,113
1185,3,13,18,5,373
1186,3,13,18,6,7477
1187,3,13,18,7,1942
1188,3,13,18,8,3521
1189,3,13,18,9,7782
1190,3,13,19,0,5344
1191,3,13,19,1,204
1192,3,13,19,2,1940
1193,3,13,19,3,2057
1194,3,13,19,4,408
1195,3,13,19,5,17040
1196,3,13,19,6,4176
1197,3,13,19,7,10268
1198,3,13,19,8,2688
1199,3,13,19,9,3685
1200,4,8,10,0,273
1201,4,8,10,1,51
1202,4,8,10,2,26
1203,4,8,10,3,39
1204,4,8,10,4,129
1205,4,8,10,5,353
1206,4,8,10,6,3
1207,4,8,10,7,74
1208,4,8,10,8,101
1209,4,8,10,9,119
1210,4,8,11,0,4
1211,4,8,11,1,32
1212,4,8,11,2,332
1213,4,8,11,3,319
1214,4,8,11,4,200
1215,4,8,11,5,616
1216,4,8,11,6,142
1217,4,8,11,7,33
1218,4,8,11,8,566
1219,4,8,11,9,73
1220,4,8,12,0,81
1221,4,8,12,1,26
1222,4,8,12,2,134
1223,4,8,12,3,232
1224,4,8,12,4,178
1225,4,8,12,5,7
1226,4,8,12,6,156
1227,4,8,12,7,6
1228,4,8,12,8,209
1229,4,8,12,9,142
1230,4,8,13,0,375
1231,4,8,13,1,184
1232,4,8,13,2,61
1233,4,8,13,3,174
1234,4,8,13,4,39
1235,4,8,13,5,348
1236,4,8,13,6,276
1237,4,8,13,7,117
1238,4,8,13,8,96
1239,4,8,13,9,228
1240,4,8,14,0,336
1241,4,8,14,1,91
1242,4,8,14,2,784
1243,4,8,14,3,23
1244,4,8,14,4,419
1245,4,8,14,5,39
1246,4,8,14,6,222
1247,4,8,14,7,16
1248,4,8,14,8,53
1249,4,8,14,9,250
1250,4,8,15,0,175
1251,4,8,15,1,80
1252,4,8,15,2,337
1253,4,8,15,3,657
1254,4,8,15,4,22
1255,4,8,15,5,513
1256,4,8,15,6,88
1257,4,8,15,7,2
1258,4,8,15,8,139
1259,4,8,15,9,250
1260,4,8,16,0,705
1261,4,8,16,1,12
1262,4,8,16,2,150
1263,4,8,16,3,175
1264,4,8,16,4,35
1265,4,8,16,5,51
1266,4,8,16,6,440
1267,4,8,16,7,2
1268,4,8,16,8,138
1269,4,8,16,9,63
1270,4,8,17,0,1
1271,4,8,17,1,54
1272,4,8,17,2,27
1273,4,8,17,3,161
1274,4,8,17,4,40
1275,4,8,17,5,129
1276,4,8,17,6,401
1277,4,8,17,7,44
1278,4,8,17,8,78
1279,4,8,17,9,191
1280,4,8,18,0,415
1281,4,8,18,1,4
1282,4,8,18,2,164
1283,4,8,18,3,569
1284,4,8,18,4,172
1285,4,8,18,5,179
1286,4,8,18,6,3
1287,4,8,18,7,179
1288,4,8,18,8,157
1289,4,8,18,9,332
1290,4,8,19,0,63
1291,4,8,19,1,420
1292,4,8,19,2,91
1293,4,8,19,3,3
1294,4,8,19,4,95
1295,4,8,19,5,77
1296,4,8,19,6,588
1297,4,8,19,7,1059
1298,4,8,19,8,5
1299,4,8,19,9,226
1300,4,9,10,0,155
1301,4,9,10,1,97
1302,4,9,10,2,491
1303,4,9,10,3,74
1304,4,9,10,4,986
1305,4,9,10,5,199
1306,4,9,10,6,179
1307,4,9,10,7,116
1308,4,9,10,8,199
1309,4,9,10,9,235
1310,4,9,11,0,136
1311,4,9,11,1,248
1312,4,9,11,2,472
1313,4,9,11,3,166
1314,4,9,11,4,473
1315,4,9,11,5,1310
1316,4,9,11,6,174
1317,4,9,11,7,119
1318,4,9,11,8,26
1319,4,9,11,9,510
1320,4,9,12,0,458
1321,4,9,12,1,45
1322,4,9,12,2,948
1323,4,9,12,3,229
1324,4,9,12,4,190
1325,4,9,12,5,83
1326,4,9,12,6,683
1327,4,9,12,7,1169
1328,4,9,12,8,188
1329,4,9,12,9,384
1330,4,9,13,0,89
1331,4,9,13,1,77
1332,4,9,13,2,209
1333,4,9,13,3,80
1334,4,9,13,4,882
1335,4,9,13,5,138
1336,4,9,13,6,899
1337,4,9,13,7,111
1338,4,9,13,8,53
1339,4,9,13,9,305
1340,4,9,14,0,199
1341,4,9,14,1,642
1342,4,9,14,2,427
1343,4,9,14,3,401
1344,4,9,14,4,611
1345,4,9,14,5,109
1346,4,9,14,6,236
1347,4,9,14,7,330
1348,4,9,14,8,75
1349,4,9,14,9,88
1350,4,9,15,0,422
1351,4,9,15,1,9
1352,4,9,15,2,72
1353,4,9,15,3,94
1354,4,9,15,4,69
1355,4,9,15,5,139
1356,4,9,15,6,211
1357,4,9,15,7,171
1358,4,9,15,8,485
1359,4,9,15,9,181
1360,4,9,16,0,21
1361,4,9,16,1,110
1362,4,9,16,2,418
1363,4,9,16,3,292
1364,4,9,16,4,1356
1365,4,9,16,5,17
1366,4,9,16,6,326
1367,4,9,16,7,140
1368,4,9,16,8,67
1369,4,9,16,9,205
1370,4,9,17,0,645
1371,4,9,17,1,277
1372,4,9,17,2,524
1373,4,9,17,3,114
1374,4,9,17,4,59
1375,4,9,17,5,145
1376,4,9,17,6,38
1377,4,9,17,7,206
1378,4,9,17,8,301
1379,4,9,17,9,624
1380,4,9,18,0,529
1381,4,9,18,1,405
1382,4,9,18,2,421
1383,4,9,18,3,289
1384,4,9,18,4,511
1385,4,9,18,5,250
1386,4,9,18,6,820
1387,4,9,18,7,419
1388,4,9,18,8,150
1389,4,9,18,9,62
1390,4,9,19,0,27
1391,4,9,19,1,135
1392,4,9,19,2,258
1393,4,9,19,3,114
1394,4,9,19,4,171
1395,4,9,19,5,505
1396,4,9,19,6,464
1397,4,9,19,7,344
1398,4,9,19,8,79
1399,4,9,19,9,86
1400,4,10,10,0,386
1401,4,10,10,1,31
1402,4,10,10,2,106
1403,4,10,10,3,534
1404,4,10,10,4,899
1405,4,10,10,5,969
1406,4,10,10,6,338
1407,4,10,10,7,474
1408,4,10,10,8,213
1409,4,10,10,9,257
1410,4,10,11,0,282
1411,4,10,11,1,583
1412,4,10,11,2,65
1413,4,10,11,3,191
1414,4,10,11,4,1314
1415,4,10,11,5,280
1416,4,10,11,6,562
1417,4,10,11,7,186
1418,4,10,11,8,2676
1419,4,10,11,9,164
1420,4,10,12,0,355
1421,4,10,12,1,35
1422,4,10,12,2,131
1423,4,10,12,3,11
1424,4,10,12,4,87
1425,4,10,12,5,71
1426,4,10,12,6,2198
1427,4,10,12,7,811
1428,4,10,12,8,85
1429,4,10,12,9,1172
1430,4,10,13,0,552
1431,4,10,13,1,479
1432,4,10,13,2,277
1433,4,10,13,3,95
1434,4,10,13,4,148
1435,4,10,13,5,13
1436,4,10,13,6,730
1437,4,10,13,7,254
1438,4,10,13,8,699
1439,4,10,13,9,491
1440,4,10,14,0,553
1441,4,10,14,1,577
1442,4,10,14,2,290
1443,4,10,14,3,1918
1444,4,10,14,4,568
1445,4,10,14,5,650
1446,4,10,14,6,234
1447,4,10,14,7,24
1448,4,10,14,8,1846
1449,4,10,14,9,92
1450,4,10,15,0,89
1451,4,10,15,1,4073
1452,4,10,15,2,848
1453,4,10,15,3,538
1454,4,10,15,4,316
1455,4,10,15,5,801
1456,4,10,15,6,602
1457,4,10,15,7,930
1458,4,10,15,8,353
1459,4,10,15,9,119
1460,4,10,16,0,839
1461,4,10,16,1,53
1462,4,10,16,2,409
1463,4,10,16,3,1363
1464,4,10,16,4,189
1465,4,10,16,5,277
1466,4,10,16,6,480
1467,4,10,16,7,350
1468,4,10,16,8,615
1469,4,10,16,9,940
1470,4,10,17,0,828
1471,4,10,17,1,467
1472,4,10,17,2,494
1473,4,10,17,3,48
1474,4,10,17,4,312
1475,4,10,17,5,541
1476,4,10,17,6,284
1477,4,10,17,7,484
1478,4,10,17,8,349
1479,4,10,17,9,1106
1480,4,10,18,0,80
1481,4,10,18,1,147
1482,4,10,18,2,181
1483,4,10,18,3,1431
1484,4,10,18,4,783
1485,4,10,18,5,195
1486,4,10,18,6,1262
1487,4,10,18,7,678
1488,4,10,18,8,324
1489,4,10,18,9,280
1490,4,10,19,0,1181
1491,4,10,19,1,139
1492,4,10,19,2,408
1493,4,10,19,3,92
1494,4,10,19,4,812
1495,4,10,19,5,135
1496,4,10,19,6,1512
1497,4,10,19,7,141
1498,4,10,19,8,452
1499,4,10,19,9,186
1500,4,11,10,0,1316
1501,4,11,10,1,3008
1502,4,11,10,2,275
1503,4,11,10,3,687
1504,4,11,10,4,3
1505,4,11,10,5,288
1506,4,11,10,6,371
1507,4,11,10,7,218
1508,4,11,10,8,1096
1509,4,11,10,9,2390
1510,4,11,11,0,644
1511,4,11,11,1,1823
1512,4,11,11,2,2442
1513,4,11,11,3,225
1514,4,11,11,4,1814
1515,4,11,11,5,855
1516,4,11,11,6,1918
1517,4,11,11,7,1050
1518,4,11,11,8,877
1519,4,11,11,9,452
1520,4,11,12,0,937
1521,4,11,12,1,536
1522,4,11,12,2,808
1523,4,11,12,3,1257
1524,4,11,12,4,1010
1525,4,11,12,5,4060
1526,4,11,12,6,1059
1527,4,11,12,7,492
1528,4,11,12,8,1392
1529,4,11,12,9,271
1530,4,11,13,0,79
1531,4,11,13,1,135
1532,4,11,13,2,278
1533,4,11,13,3,63
1534,4,11,13,4,347
1535,4,11,13,5,296
1536,4,11,13,6,1450
1537,4,11,13,7,5331
1538,4,11,13,8,1045
1539,4,11,13,9,42
1540,4,11,14,0,269
1541,4,11,14,1,389
1542,4,11,14,2,387
1543,4,11,14,3,170
1544,4,11,14,4,748
1545,4,11,14,5,1968
1546,4,11,14,6,321
1547,4,11,14,7,1015
1548,4,11,14,8,727
1549,4,11,14,9,256
1550,4,11,15,0,390
1551,4,11,15,1,2082
1552,4,11,15,2,352
1553,4,11,15,3,213
1554,4,11,15,4,319
1555,4,11,15,5,2177
1556,4,11,15,6,88
1557,4,11,15,7,281
1558,4,11,15,8,98
1559,4,11,15,9,360
1560,4,11,16,0,1019
1561,4,11,16,1,1300
1562,4,11,16,2,1907
1563,4,11,16,3,954
1564,4,11,16,4,415
1565,4,11,16,5,4879
1566,4,11,16,6,125
1567,4,11,16,7,545
1568,4,11,16,8,2311
1569,4,11,16,9,932
1570,4,11,17,0,1349
1571,4,11,17,1,643
1572,4,11,17,2,1045
1573,4,11,17,3,833
1574,4,11,17,4,2366
1575,4,11,17,5,900
1576,4,11,17,6,275
1577,4,11,17,7,99
1578,4,11,17,8,2477
1579,4,11,17,9,313
1580,4,11,18,0,5
1581,4,11,18,1,2145
1582,4,11,18,2,3210
1583,4,11,18,3,1732
1584,4,11,18,4,495
1585,4,11,18,5,2132
1586,4,11,18,6,3309
1587,4,11,18,7,328
1588,4,11,18,8,1329
1589,4,11,18,9,1913
1590,4,11,19,0,1007
1591,4,11,19,1,628
1592,4,11,19,2,2240
1593,4,11,19,3,1668
1594,4,11,19,4,1127
1595,4,11,19,5,674
1596,4,11,19,6,3647
1597,4,11,19,7,1909
1598,4,11,19,8,1594
1599,4,11,19,9,306
1600,4,12,10,0,814
1601,4,12,10,1,4818
1602,4,12,10,2,1290
1603,4,12,10,3,2622
1604,4,12,10,4,1903
1605,4,12,10,5,495
1606,4,12,10,6,517
1607,4,12,10,7,473
1608,4,12,10,8,368
1609,4,12,10,9,1540
1610,4,12,11,0,148
1611,4,12,11,1,993
1612,4,12,11,2,77
1613,4,12,11,3,1555
1614,4,12,11,4,808
1615,4,12,11,5,1141
1616,4,12,11,6,580
1617,4,12,11,7,3373
1618,4,12,11,8,2891
1619,4,12,11,9,6193
1620,4,12,12,0,7854
1621,4,12,12,1,2350
1622,4,12,12,2,1437
1623,4,12,12,3,1536
1624,4,12,12,4,171
1625,4,12,12,5,63
1626,4,12,12,6,1117
1627,4,12,12,7,508
1628,4,12,12,8,1339
1629,4,12,12,9,2153
1630,4,12,13,0,159
1631,4,12,13,1,246
1632,4,12,13,2,2949
1633,4,12,13,3,3561
1634,4,12,13,4,1217
1635,4,12,13,5,1374
1636,4,12,13,6,1728
1637,4,12,13,7,502
1638,4,12,13,8,1290
1639,4,12,13,9,442
1640,4,12,14,0,223
1641,4,12,14,1,2213
1642,4,12,14,2,5733
1643,4,12,14,3,1065
1644,4,12,14,4,4797
1645,4,12,14,5,1930
1646,4,12,14,6,374
1647,4,12,14,7,536
1648,4,12,14,8,881
1649,4,12,14,9,114
1650,4,12,15,0,928
1651,4,12,15,1,2638
1652,4,12,15,2,1780
1653,4,12,15,3,2025
1654,4,12,15,4,1197
1655,4,12,15,5,856
1656,4,12,15,6,1193
1657,4,12,15,7,4044
1658,4,12,15,8,47
1659,4,12,15,9,1461
1660,4,12,16,0,850
1661,4,12,16,1,967
1662,4,12,16,2,825
1663,4,12,16,3,1262
1664,4,12,16,4,495
1665,4,12,16,5,6639
1666,4,12,16,6,3129
1667,4,12,16,7,4883
1668,4,12,16,8,7984
1669,4,12,16,9,2926
1670,4,12,17,0,2072
1671,4,12,17,1,362
1672,4,12,17,2,1409
1673,4,12,17,3,1855
1674,4,12,17,4,878
1675,4,12,17,5,557
1676,4,12,17,6,441
1677,4,12,17,7,3466
1678,4,12,17,8,3485
1679,4,12,17,9,579
1680,4,12,18,0,5917
1681,4,12,18,1,337
1682,4,12,18,2,1211
1683,4,12,18,3,3172
1684,4,12,18,4,2414
1685,4,12,18,5,4156
1686,4,12,18,6,3501
1687,4,12,18,7,167
1688,4,12,18,8,9424
1689,4,12,18,9,2960
1690,4,12,19,0,229
1691,4,12,19,1,602
1692,4,12,19,2,2027
1693,4,12,19,3,6606
1694,4,12,19,4,638
1695,4,12,19,5,769
1696,4,12,19,6,561
1697,4,12,19,7,1280
1698,4,12,19,8,4838
1699,4,12,19,9,352
1700,4,13,10,0,4192
1701,4,13,10,1,3128
1702,4,13,10,2,1862
1703,4,13,10,3,15425
1704,4,13,10,4,30
1705,4,13,10,5,3904
1706,4,13,10,6,5082
1707,4,13,10,7,8855
1708,4,13,10,8,4252
1709,4,13,10,9,1210
1710,4,13,11,0,894
1711,4,13,11,1,15262
1712,4,13,11,2,7610
1713,4,13,11,3,2085
1714,4,13,11,4,2335
1715,4,13,11,5,1297
1716,4,13,11,6,2108
1717,4,13,11,7,5705
1718,4,13,11,8,1284
1719,4,13,11,9,5409
1720,4,13,12,0,1594
1721,4,13,12,1,2943
1722,4,13,12,2,4
1723,4,13,12,3,1304
1724,4,13,12,4,5137
1725,4,13,12,5,3608
1726,4,13,12,6,1596
1727,4,13,12,7,2865
1728,4,13,12,8,1336
1729,4,13,12,9,2606
1730,4,13,13,0,4288
1731,4,13,13,1,6813
1732,4,13,13,2,3145
1733,4,13,13,3,3336
1734,4,13,13,4,2001
1735,4,13,13,5,359
1736,4,13,13,6,1931
1737,4,13,13,7,1990
1738,4,13,13,8,4107
1739,4,13,13,9,8302
1740,4,13,14,0,6101
1741,4,13,14,1,6964
1742,4,13,14,2,172
1743,4,13,14,3,7218
1744,4,13,14,4,1231
1745,4,13,14,5,919
1746,4,13,14,6,18620
1747,4,13,14,7,658
1748,4,13,14,8,5020
1749,4,13,14,9,4384
1750,4,13,15,0,1228
1751,4,13,15,1,6399
1752,4,13,15,2,1329
1753,4,13,15,3,12070
1754,4,13,15,4,6755
1755,4,13,15,5,2052
1756,4,13,15,6,1962
1757,4,13,15,7,10211
1758,4,13,15,8,5311
1759,4,13,15,9,1209
1760,4,13,16,0,6311
1761,4,13,16,1,16370
1762,4,13,16,2,511
1763,4,13,16,3,707
1764,4,13,16,4,6995
1765,4,13,16,5,3995
1766,4,13,16,6,1992
1767,4,13,16,7,1274
1768,4,13,16,8,5612
1769,4,13,16,9,906
1770,4,13,17,0,4138
1771,4,13,17,1,3159
1772,4,13,17,2,3212
1773,4,13,17,3,6744
1774,4,13,17,4,331
1775,4,13,17,5,5701
1776,4,13,17,6,234
1777,4,13,17,7,2704
1778,4,13,17,8,2418
1779,4,13,17,9,6203
1780,4,13,18,0,853
1781,4,13,18,1,1200
1782,4,13,18,2,3038
1783,4,13,18,3,276
1784,4,13,18,4,356
1785,4,13,18,5,2596
1786,4,13,18,6,3150
1787,4,13,18,7,124
1788,4,13,18,8,917
1789,4,13,18,9,1586
1790,4,13,19,0,1836
1791,4,13,19,1,3405
1792,4,13,19,2,5355
1793,4,13,19,3,327
1794,4,13,19,4,1061
1795,4,13,19,5,1960
1796,4,13,19,6,3673
1797,4,13,19,7,1150
1798,4,13,19,8,2312
1799,4,13,19,9,1996
1800,5,8,10,0,56
1801,5,8,10,1,86
1802,5,8,10,2,675
1803,5,8,10,3,47
1804,5,8,10,4,8
1805,5,8,10,5,191
1806,5,8,10,6,322
1807,5,8,10,7,41
1808,5,8,10,8,25
1809,5,8,10,9,13
1810,5,8,11,0,52
1811,5,8,11,1,500
1812,5,8,11,2,424
1813,5,8,11,3,74
1814,5,8,11,4,199
1815,5,8,11,5,6
1816,5,8,11,6,102
1817,5,8,11,7,30
1818,5,8,11,8,17
1819,5,8,11,9,8
1820,5,8,12,0,166
1821,5,8,12,1,321
1822,5,8,12,2,199
1823,5,8,12,3,118
1824,5,8,12,4,217
1825,5,8,12,5,175
1826,5,8,12,6,17
1827,5,8,12,7,168
1828,5,8,12,8,807
1829,5,8,12,9,243
1830,5,8,13,0,3
1831,5,8,13,1,195
1832,5,8,13,2,14
1833,5,8,13,3,64
1834,5,8,13,4,14
1835,5,8,13,5,134
1836,5,8,13,6,9
1837,5,8,13,7,36
1838,5,8,13,8,7
1839,5,8,13,9,5
1840,5,8,14,0,8
1841,5,8,14,1,343
1842,5,8,14,2,37
1843,5,8,14,3,192
1844,5,8,14,4,315
1845,5,8,14,5,376
1846,5,8,14,6,225
1847,5,8,14,7,304
1848,5,8,14,8,24
1849,5,8,14,9,61
1850,5,8,15,0,23
1851,5,8,15,1,243
1852,5,8,15,2,7
1853,5,8,15,3,70
1854,5,8,15,4,173
1855,5,8,15,5,65
1856,5,8,15,6,530
1857,5,8,15,7,7
1858,5,8,15,8,6
1859,5,8,15,9,478
1860,5,8,16,0,142
1861,5,8,16,1,265
1862,5,8,16,2,325
1863,5,8,16,3,358
1864,5,8,16,4,128
1865,5,8,16,5,100
1866,5,8,16,6,128
1867,5,8,16,7,56
1868,5,8,16,8,34
1869,5,8,16,9,54
1870,5,8,17,0,409
1871,5,8,17,1,77
1872,5,8,17,2,43
1873,5,8,17,3,74
1874,5,8,17,4,46
1875,5,8,17,5,1
1876,5,8,17,6,318
1877,5,8,17,7,199
1878,5,8,17,8,555
1879,5,8,17,9,34
1880,5,8,18,0,188
1881,5,8,18,1,114
1882,5,8,18,2,172
1883,5,8,18,3,14
1884,5,8,18,4,15
1885,5,8,18,5,150
1886,5,8,18,6,407
1887,5,8,18,7,59
1888,5,8,18,8,351
1889,5,8,18,9,51
1890,5,8,19,0,106
1891,5,8,19,1,49
1892,5,8,19,2,10
1893,5,8,19,3,98
1894,5,8,19,4,178
1895,5,8,19,5,86
1896,5,8,19,6,6
1897,5,8,19,7,85
1898,5,8,19,8,123
1899,5,8,19,9,196
1900,5,9,10,0,304
1901,5,9,10,1,148
1902,5,9,10,2,64
1903,5,9,10,3,445
1904,5,9,10,4,557
1905,5,9,10,5,313
1906,5,9,10,6,270
1907,5,9,10,7,27
1908,5,9,10,8,1005
1909,5,9,10,9,234
1910,5,9,11,0,319
1911,5,9,11,1,162
1912,5,9,11,2,2
1913,5,9,11,3,913
1914,5,9,11,4,568
1915,5,9,11,5,38
1916,5,9,11,6,232
1917,5,9,11,7,19
1918,5,9,11,8,84
1919,5,9,11,9,48
1920,5,9,12,0,650
1921,5,9,12,1,220
1922,5,9,12,2,39
1923,5,9,12,3,576
1924,5,9,12,4,695
1925,5,9,12,5,70
1926,5,9,12,6,29
1927,5,9,12,7,99
1928,5,9,12,8,85
1929,5,9,12,9,10
1930,5,9,13,0,13
1931,5,9,13,1,34
1932,5,9,13,2,366
1933,5,9,13,3,485
1934,5,9,13,4,340
1935,5,9,13,5,129
1936,5,9,13,6,278
1937,5,9,13,7,164
1938,5,9,13,8,356
1939,5,9,13,9,629
1940,5,9,14,0,465
1941,5,9,14,1,538
1942,5,9,14,2,59
1943,5,9,14,3,582
1944,5,9,14,4,565
1945,5,9,14,5,599
1946,5,9,14,6,32
1947,5,9,14,7,552
1948,5,9,14,8,84
1949,5,9,14,9,414
1950,5,9,15,0,172
1951,5,9,15,1,104
1952,5,9,15,2,628
1953,5,9,15,3,591
1954,5,9,15,4,166
1955,5,9,15,5,181
1956,5,9,15,6,134
1957,5,9,15,7,31
1958,5,9,15,8,40
1959,5,9,15,9,452
1960,5,9,16,0,98
1961,5,9,16,1,123
1962,5,9,16,2,311
1963,5,9,16,3,60
1964,5,9,16,4,109
1965,5,9,16,5,142
1966,5,9,16,6,159
1967,5,9,16,7,65
1968,5,9,16,8,30
1969,5,9,16,9,138
1970,5,9,17,0,800
1971,5,9,17,1,570
1972,5,9,17,2,46
1973,5,9,17,3,201
1974,5,9,17,4,301
1975,5,9,17,5,462
1976,5,9,17,6,25
1977,5,9,17,7,97
1978,5,9,17,8,8
1979,5,9,17,9,114
1980,5,9,18,0,35
1981,5,9,18,1,169
1982,5,9,18,2,27
1983,5,9,18,3,204
1984,5,9,18,4,1
1985,5,9,18,5,353
1986,5,9,18,6,125
1987,5,9,18,7,34
1988,5,9,18,8,57
1989,5,9,18,9,209
1990,5,9,19,0,11
1991,5,9,19,1,91
1992,5,9,19,2,316
1993,5,9,19,3,107
1994,5,9,19,4,17
1995,5,9,19,5,177
1996,5,9,19,6,13
1997,5,9,19,7,54
1998,5,9,19,8,349
1999,5,9,19,9,25
2000,5,10,10,0,30
2001,5,10,10,1,42
2002,5,10,10,2,1802
2003,5,10,10,3,194
2004,5,10,10,4,891
2005,5,10,10,5,154
2006,5,10,10,6,201
2007,5,10,10,7,1175
2008,5,10,10,8,5
2009,5,10,10,9,409
2010,5,10,11,0,60
2011,5,10,11,1,28
2012,5,10,11,2,77
2013,5,10,11,3,847
2014,5,10,11,4,41
2015,5,10,11,5,73
2016,5,10,11,6,524
2017,5,10,11,7,136
2018,5,10,11,8,852
2019,5,10,11,9,18
2020,5,10,12,0,199
2021,5,10,12,1,209
2022,5,10,12,2,4
2023,5,10,12,3,288
2024,5,10,12,4,1121
2025,5,10,12,5,11
2026,5,10,12,6,439
2027,5,10,12,7,250
2028,5,10,12,8,399
2029,5,10,12,9,994
2030,5,10,13,0,271
2031,5,10,13,1,1812
2032,5,10,13,2,896
2033,5,10,13,3,285
2034,5,10,13,4,58
2035,5,10,13,5,124
2036,5,10,13,6,567
2037,5,10,13,7,777
2038,5,10,13,8,31
2039,5,10,13,9,265
2040,5,10,14,0,439
2041,5,10,14,1,312
2042,5,10,14,2,144
2043,5,10,14,3,497
2044,5,10,14,4,283
2045,5,10,14,5,293
2046,5,10,14,6,194
2047,5,10,14,7,101
2048,5,10,14,8,213
2049,5,10,14,9,518
2050,5,10,15,0,388
2051,5,10,15,1,56
2052,5,10,15,2,68
2053,5,10,15,3,797
2054,5,10,15,4,794
2055,5,10,15,5,571
2056,5,10,15,6,1173
2057,5,10,15,7,660
2058,5,10,15,8,292
2059,5,10,15,9,116
2060,5,10,16,0,1212
2061,5,10,16,1,115
2062,5,10,16,2,1282
2063,5,10,16,3,30
2064,5,10,16,4,533
2065,5,10,16,5,686
2066,5,10,16,6,50
2067,5,10,16,7,2393
2068,5,10,16,8,27
2069,5,10,16,9,231
2070,5,10,17,0,171
2071,5,10,17,1,447
2072,5,10,17,2,344
2073,5,10,17,3,364
2074,5,10,17,4,476
2075,5,10,17,5,108
2076,5,10,17,6,338
2077,5,10,17,7,52
2078,5,10,17,8,559
2079,5,10,17,9,260
2080,5,10,18,0,853
2081,5,10,18,1,841
2082,5,10,18,2,267
2083,5,10,18,3,546
2084,5,10,18,4,282
2085,5,10,18,5,547
2086,5,10,18,6,1174
2087,5,10,18,7,420
2088,5,10,18,8,296
2089,5,10,18,9,40
2090,5,10,19,0,252
2091,5,10,19,1,1241
2092,5,10,19,2,67
2093,5,10,19,3,220
2094,5,10,19,4,110
2095,5,10,19,5,46
2096,5,10,19,6,249
2097,5,10,19,7,376
2098,5,10,19,8,1
2099,5,10,19,9,1790
2100,5,11,10,0,10
2101,5,11,10,1,56
2102,5,11,10,2,360
2103,5,11,10,3,62
2104,5,11,10,4,324
2105,5,11,10,5,979
2106,5,11,10,6,1475
2107,5,11,10,7,496
2108,5,11,10,8,174
2109,5,11,10,9,24
2110,5,11,11,0,381
2111,5,11,11,1,1028
2112,5,11,11,2,138
2113,5,11,11,3,188
2114,5,11,11,4,189
2115,5,11,11,5,646
2116,5,11,11,6,834
2117,5,11,11,7,190
2118,5,11,11,8,907
2119,5,11,11,9,2144
2120,5,11,12,0,195
2121,5,11,12,1,795
2122,5,11,12,2,1299
2123,5,11,12,3,731
2124,5,11,12,4,417
2125,5,11,12,5,713
2126,5,11,12,6,145
2127,5,11,12,7,1778
2128,5,11,12,8,105
2129,5,11,12,9,211
2130,5,11,13,0,963
2131,5,11,13,1,67
2132,5,11,13,2,350
2133,5,11,13,3,38
2134,5,11,13,4,224
2135,5,11,13,5,1377
2136,5,11,13,6,310
2137,5,11,13,7,160
2138,5,11,13,8,747
2139,5,11,13,9,772
2140,5,11,14,0,731
2141,5,11,14,1,328
2142,5,11,14,2,502
2143,5,11,14,3,2054
2144,5,11,14,4,35
2145,5,11,14,5,381
2146,5,11,14,6,697
2147,5,11,14,7,434
2148,5,11,14,8,592
2149,5,11,14,9,819
2150,5,11,15,0,171
2151,5,11,15,1,863
2152,5,11,15,2,47
2153,5,11,15,3,150
2154,5,11,15,4,1455
2155,5,11,15,5,4274
