Size,Time,Solutions
4,3.266334533691406e-05,2
5,0.00011396408081054688,10
6,0.000545501708984375,4
7,0.002099752426147461,40
8,0.010471820831298828,92
9,0.05394101142883301,352
10,0.2598123550415039,724
11,1.5073583126068115,2680
12,9.351982355117798,14200
